CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKIDEA28-NOV-2024,7.5000000,7.6700000,8.4500000,7.4900000,8.3200000,8.3200000,10.9300000,12407.0000000,1044040000.0000000,26101.0000000,8257544400.0000000
FUTSTKIOC26-DEC-2024,137.4900000,138.6000000,140.3300000,136.0600000,139.8500000,139.8500000,1.7100000,21752.0000000,56340375.0000000,11557.0000000,7751331558.7500000
FUTSTKDIVISLAB26-DEC-2024,6116.6500000,6163.1500000,6163.1500000,6030.0500000,6040.5000000,6040.5000000,-1.2400000,27719.0000000,907200.0000000,9072.0000000,5519158975.0000000
FUTSTKBAJAJ-AUTO28-NOV-2024,9142.6500000,9159.6500000,9268.0000000,9114.8000000,9197.1500000,9197.1500000,0.5900000,7955.0000000,1017525.0000000,13567.0000000,9378701212.5000000
FUTSTKRELIANCE28-NOV-2024,1294.5500000,1292.8000000,1303.0000000,1286.2500000,1295.2000000,1295.2000000,0.0500000,85289.0000000,38895500.0000000,77791.0000000,50359487200.0000000
FUTSTKDEEPAKNTR26-DEC-2024,2706.3000000,2740.3500000,2740.3500000,2685.0000000,2710.6000000,2710.6000000,0.1500000,6297.0000000,1188900.0000000,3963.0000000,3220925430.0000000
FUTSTKUNITDSPR28-NOV-2024,1512.9000000,1510.8500000,1529.7000000,1501.3000000,1516.7000000,1516.7000000,0.2500000,3477.0000000,4849950.0000000,13857.0000000,7323496950.0000000
FUTSTKSRF28-NOV-2024,2233.7500000,2244.8500000,2300.5000000,2222.6500000,2296.9000000,2296.9000000,2.8200000,2509.0000000,2331000.0000000,6216.0000000,5288307487.5000000
FUTSTKWIPRO28-NOV-2024,588.0000000,590.0500000,595.3500000,582.6000000,583.5500000,583.5500000,-0.7500000,5733.0000000,13426500.0000000,8951.0000000,7888071375.0000000
FUTSTKHINDCOPPER26-DEC-2024,281.2500000,279.7000000,282.5500000,275.0500000,279.2500000,279.2500000,-0.7100000,11811.0000000,7976500.0000000,3010.0000000,2218027475.0000000
FUTSTKCANFINHOME26-DEC-2024,821.3000000,828.7500000,828.7500000,811.1000000,824.1000000,824.1000000,0.3400000,3292.0000000,2539875.0000000,2605.0000000,2081055795.0000000
